jobid mutator crossover repair generator D mu eps repl
324 bf on off uncorr 10 25 0.1 4
325 bf on off uncorr 10 25 0.1 5
326 bf on off uncorr 10 25 0.1 6
327 bf on off uncorr 10 25 0.1 7
328 bf on off uncorr 10 25 0.1 8
329 bf on off uncorr 10 25 0.1 9
330 bf on off uncorr 10 25 0.1 10
331 bf on off uncorr 10 25 0.2 1
332 bf on off uncorr 10 25 0.2 2
333 bf on off uncorr 10 25 0.2 3
334 bf on off uncorr 10 25 0.2 4
335 bf on off uncorr 10 25 0.2 5
336 bf on off uncorr 10 25 0.2 6
337 bf on off uncorr 10 25 0.2 7
338 bf on off uncorr 10 25 0.2 8
339 bf on off uncorr 10 25 0.2 9
340 bf on off uncorr 10 25 0.2 10
341 bf on off uncorr 10 25 0.5 1
342 bf on off uncorr 10 25 0.5 2
343 bf on off uncorr 10 25 0.5 3
344 bf on off uncorr 10 25 0.5 4
345 bf on off uncorr 10 25 0.5 5
346 bf on off uncorr 10 25 0.5 6
347 bf on off uncorr 10 25 0.5 7
348 bf on off uncorr 10 25 0.5 8
349 bf on off uncorr 10 25 0.5 9
350 bf on off uncorr 10 25 0.5 10
351 bf on off uncorr 10 25 0.9 1
352 bf on off uncorr 10 25 0.9 2
353 bf on off uncorr 10 25 0.9 3
354 bf on off uncorr 10 25 0.9 4
355 bf on off uncorr 10 25 0.9 5
356 bf on off uncorr 10 25 0.9 6
357 bf on off uncorr 10 25 0.9 7
358 bf on off uncorr 10 25 0.9 8
359 bf on off uncorr 10 25 0.9 9
360 bf on off uncorr 10 25 0.9 10
361 bf on off uncorr 10 50 0.1 1
362 bf on off uncorr 10 50 0.1 2
363 bf on off uncorr 10 50 0.1 3
364 bf on off uncorr 10 50 0.1 4
365 bf on off uncorr 10 50 0.1 5
366 bf on off uncorr 10 50 0.1 6
367 bf on off uncorr 10 50 0.1 7
368 bf on off uncorr 10 50 0.1 8
369 bf on off uncorr 10 50 0.1 9
370 bf on off uncorr 10 50 0.1 10
371 bf on off uncorr 10 50 0.2 1
372 bf on off uncorr 10 50 0.2 2
373 bf on off uncorr 10 50 0.2 3
374 bf on off uncorr 10 50 0.2 4
375 bf on off uncorr 10 50 0.2 5
376 bf on off uncorr 10 50 0.2 6
377 bf on off uncorr 10 50 0.2 7
378 bf on off uncorr 10 50 0.2 8
379 bf on off uncorr 10 50 0.2 9
380 bf on off uncorr 10 50 0.2 10
381 bf on off uncorr 10 50 0.5 1
382 bf on off uncorr 10 50 0.5 2
383 bf on off uncorr 10 50 0.5 3
384 bf on off uncorr 10 50 0.5 4
385 bf on off uncorr 10 50 0.5 5
386 bf on off uncorr 10 50 0.5 6
387 bf on off uncorr 10 50 0.5 7
388 bf on off uncorr 10 50 0.5 8
389 bf on off uncorr 10 50 0.5 9
390 bf on off uncorr 10 50 0.5 10
391 bf on off uncorr 10 50 0.9 1
392 bf on off uncorr 10 50 0.9 2
393 bf on off uncorr 10 50 0.9 3
394 bf on off uncorr 10 50 0.9 4
395 bf on off uncorr 10 50 0.9 5
396 bf on off uncorr 10 50 0.9 6
397 bf on off uncorr 10 50 0.9 7
398 bf on off uncorr 10 50 0.9 8
399 bf on off uncorr 10 50 0.9 9
400 bf on off uncorr 10 50 0.9 10
401 bf on off uncorr 10 100 0.1 1
402 bf on off uncorr 10 100 0.1 2
403 bf on off uncorr 10 100 0.1 3
404 bf on off uncorr 10 100 0.1 4
405 bf on off uncorr 10 100 0.1 5
406 bf on off uncorr 10 100 0.1 6
407 bf on off uncorr 10 100 0.1 7
408 bf on off uncorr 10 100 0.1 8
409 bf on off uncorr 10 100 0.1 9
410 bf on off uncorr 10 100 0.1 10
411 bf on off uncorr 10 100 0.2 1
412 bf on off uncorr 10 100 0.2 2
413 bf on off uncorr 10 100 0.2 3
414 bf on off uncorr 10 100 0.2 4
415 bf on off uncorr 10 100 0.2 5
416 bf on off uncorr 10 100 0.2 6
417 bf on off uncorr 10 100 0.2 7
418 bf on off uncorr 10 100 0.2 8
419 bf on off uncorr 10 100 0.2 9
420 bf on off uncorr 10 100 0.2 10
421 bf on off uncorr 10 100 0.5 1
422 bf on off uncorr 10 100 0.5 2
423 bf on off uncorr 10 100 0.5 3
424 bf on off uncorr 10 100 0.5 4
425 bf on off uncorr 10 100 0.5 5
426 bf on off uncorr 10 100 0.5 6
427 bf on off uncorr 10 100 0.5 7
428 bf on off uncorr 10 100 0.5 8
429 bf on off uncorr 10 100 0.5 9
430 bf on off uncorr 10 100 0.5 10
431 bf on off uncorr 10 100 0.9 1
432 bf on off uncorr 10 100 0.9 2
433 bf on off uncorr 10 100 0.9 3
434 bf on off uncorr 10 100 0.9 4
435 bf on off uncorr 10 100 0.9 5
436 bf on off uncorr 10 100 0.9 6
437 bf on off uncorr 10 100 0.9 7
438 bf on off uncorr 10 100 0.9 8
439 bf on off uncorr 10 100 0.9 9
440 bf on off uncorr 10 100 0.9 10
441 bf on off uncorr 10 200 0.1 1
442 bf on off uncorr 10 200 0.1 2
443 bf on off uncorr 10 200 0.1 3
444 bf on off uncorr 10 200 0.1 4
445 bf on off uncorr 10 200 0.1 5
446 bf on off uncorr 10 200 0.1 6
447 bf on off uncorr 10 200 0.1 7
448 bf on off uncorr 10 200 0.1 8
449 bf on off uncorr 10 200 0.1 9
450 bf on off uncorr 10 200 0.1 10
451 bf on off uncorr 10 200 0.2 1
452 bf on off uncorr 10 200 0.2 2
453 bf on off uncorr 10 200 0.2 3
454 bf on off uncorr 10 200 0.2 4
455 bf on off uncorr 10 200 0.2 5
456 bf on off uncorr 10 200 0.2 6
457 bf on off uncorr 10 200 0.2 7
458 bf on off uncorr 10 200 0.2 8
459 bf on off uncorr 10 200 0.2 9
460 bf on off uncorr 10 200 0.2 10
461 bf on off uncorr 10 200 0.5 1
462 bf on off uncorr 10 200 0.5 2
463 bf on off uncorr 10 200 0.5 3
464 bf on off uncorr 10 200 0.5 4
465 bf on off uncorr 10 200 0.5 5
466 bf on off uncorr 10 200 0.5 6
467 bf on off uncorr 10 200 0.5 7
468 bf on off uncorr 10 200 0.5 8
469 bf on off uncorr 10 200 0.5 9
470 bf on off uncorr 10 200 0.5 10
471 bf on off uncorr 10 200 0.9 1
472 bf on off uncorr 10 200 0.9 2
473 bf on off uncorr 10 200 0.9 3
474 bf on off uncorr 10 200 0.9 4
475 bf on off uncorr 10 200 0.9 5
476 bf on off uncorr 10 200 0.9 6
477 bf on off uncorr 10 200 0.9 7
478 bf on off uncorr 10 200 0.9 8
479 bf on off uncorr 10 200 0.9 9
480 bf on off uncorr 10 200 0.9 10
481 bf on off scorr 2 25 0.1 1
482 bf on off scorr 2 25 0.1 2
483 bf on off scorr 2 25 0.1 3
484 bf on off scorr 2 25 0.1 4
485 bf on off scorr 2 25 0.1 5
486 bf on off scorr 2 25 0.1 6
487 bf on off scorr 2 25 0.1 7
488 bf on off scorr 2 25 0.1 8
489 bf on off scorr 2 25 0.1 9
490 bf on off scorr 2 25 0.1 10
491 bf on off scorr 2 25 0.2 1
492 bf on off scorr 2 25 0.2 2
493 bf on off scorr 2 25 0.2 3
494 bf on off scorr 2 25 0.2 4
495 bf on off scorr 2 25 0.2 5
496 bf on off scorr 2 25 0.2 6
497 bf on off scorr 2 25 0.2 7
498 bf on off scorr 2 25 0.2 8
499 bf on off scorr 2 25 0.2 9
500 bf on off scorr 2 25 0.2 10
501 bf on off scorr 2 25 0.5 1
502 bf on off scorr 2 25 0.5 2
503 bf on off scorr 2 25 0.5 3
504 bf on off scorr 2 25 0.5 4
505 bf on off scorr 2 25 0.5 5
506 bf on off scorr 2 25 0.5 6
507 bf on off scorr 2 25 0.5 7
508 bf on off scorr 2 25 0.5 8
509 bf on off scorr 2 25 0.5 9
510 bf on off scorr 2 25 0.5 10
511 bf on off scorr 2 25 0.9 1
512 bf on off scorr 2 25 0.9 2
513 bf on off scorr 2 25 0.9 3
514 bf on off scorr 2 25 0.9 4
515 bf on off scorr 2 25 0.9 5
516 bf on off scorr 2 25 0.9 6
517 bf on off scorr 2 25 0.9 7
518 bf on off scorr 2 25 0.9 8
519 bf on off scorr 2 25 0.9 9
520 bf on off scorr 2 25 0.9 10
521 bf on off scorr 2 50 0.1 1
522 bf on off scorr 2 50 0.1 2
523 bf on off scorr 2 50 0.1 3
524 bf on off scorr 2 50 0.1 4
525 bf on off scorr 2 50 0.1 5
526 bf on off scorr 2 50 0.1 6
527 bf on off scorr 2 50 0.1 7
528 bf on off scorr 2 50 0.1 8
529 bf on off scorr 2 50 0.1 9
530 bf on off scorr 2 50 0.1 10
531 bf on off scorr 2 50 0.2 1
532 bf on off scorr 2 50 0.2 2
533 bf on off scorr 2 50 0.2 3
534 bf on off scorr 2 50 0.2 4
535 bf on off scorr 2 50 0.2 5
536 bf on off scorr 2 50 0.2 6
537 bf on off scorr 2 50 0.2 7
538 bf on off scorr 2 50 0.2 8
539 bf on off scorr 2 50 0.2 9
540 bf on off scorr 2 50 0.2 10
541 bf on off scorr 2 50 0.5 1
542 bf on off scorr 2 50 0.5 2
543 bf on off scorr 2 50 0.5 3
544 bf on off scorr 2 50 0.5 4
545 bf on off scorr 2 50 0.5 5
546 bf on off scorr 2 50 0.5 6
547 bf on off scorr 2 50 0.5 7
