"jobid" "mutator" "crossover" "repair" "generator" "D" "mu" "eps" "repl" "iters" "time_passed" "entropy" "iters_without_improvement" "repair_operations" "repair_success"
154 "bf" "on" "off" "uncorr" 2 200 0.9 4 20000 225 36.7872249480295 15907 6023 153
155 "bf" "on" "off" "uncorr" 2 200 0.9 5 20000 180 36.7872821300595 16157 5933 188
156 "bf" "on" "off" "uncorr" 2 200 0.9 6 20000 212 36.7872769316931 16090 5779 171
157 "bf" "on" "off" "uncorr" 2 200 0.9 7 20000 227 36.7871833702371 16016 5349 155
158 "bf" "on" "off" "uncorr" 2 200 0.9 8 20000 215 36.7872145512968 16147 6002 140
159 "bf" "on" "off" "uncorr" 2 200 0.9 9 20000 232 36.7872405431286 15981 5586 156
160 "bf" "on" "off" "uncorr" 2 200 0.9 10 20000 189 36.7872925267922 16185 5879 149
161 "bf" "on" "off" "uncorr" 5 25 0.1 1 2500 1 25.065151136837 2284 4060 131
162 "bf" "on" "off" "uncorr" 5 25 0.1 2 2500 1 24.3577776303336 2270 3963 132
163 "bf" "on" "off" "uncorr" 5 25 0.1 3 2500 1 24.0726691980673 2314 4043 124
164 "bf" "on" "off" "uncorr" 5 25 0.1 4 2500 1 24.2821880116105 2268 4061 120
165 "bf" "on" "off" "uncorr" 5 25 0.1 5 2500 1 24.2324790246164 2288 4025 112
166 "bf" "on" "off" "uncorr" 5 25 0.1 6 2500 1 24.6300914748257 2275 4012 128
167 "bf" "on" "off" "uncorr" 5 25 0.1 7 2500 2 24.2204207613249 2260 3907 144
168 "bf" "on" "off" "uncorr" 5 25 0.1 8 2500 1 24.3598646524972 2304 3945 123
169 "bf" "on" "off" "uncorr" 5 25 0.1 9 2500 1 24.1401266719133 2290 3967 118
170 "bf" "on" "off" "uncorr" 5 25 0.1 10 2500 1 24.6709253074608 2269 4011 150
171 "bf" "on" "off" "uncorr" 5 25 0.2 1 2500 2 30.248956166237 2231 4065 202
172 "bf" "on" "off" "uncorr" 5 25 0.2 2 2500 2 29.8799118958785 2223 3983 167
173 "bf" "on" "off" "uncorr" 5 25 0.2 3 2500 2 30.3426796445353 2226 3994 190
174 "bf" "on" "off" "uncorr" 5 25 0.2 4 2500 1 30.0428698890358 2196 3945 210
175 "bf" "on" "off" "uncorr" 5 25 0.2 5 2500 2 30.2207807515089 2192 3983 196
176 "bf" "on" "off" "uncorr" 5 25 0.2 6 2500 2 30.5432486146992 2201 4011 218
177 "bf" "on" "off" "uncorr" 5 25 0.2 7 2500 2 30.2843233448876 2202 3965 187
178 "bf" "on" "off" "uncorr" 5 25 0.2 8 2500 2 30.1779488174044 2191 3998 177
179 "bf" "on" "off" "uncorr" 5 25 0.2 9 2500 1 30.3409285037777 2202 3956 220
180 "bf" "on" "off" "uncorr" 5 25 0.2 10 2500 2 30.4297905678025 2212 4015 197
181 "bf" "on" "off" "uncorr" 5 25 0.5 1 2500 4 36.7014773730784 2152 2489 657
182 "bf" "on" "off" "uncorr" 5 25 0.5 2 2500 3 36.6989210603547 2195 2381 536
183 "bf" "on" "off" "uncorr" 5 25 0.5 3 2500 3 36.6976429039929 2198 2742 711
184 "bf" "on" "off" "uncorr" 5 25 0.5 4 2500 4 36.6938084349073 2101 2279 467
185 "bf" "on" "off" "uncorr" 5 25 0.5 5 2500 4 36.6976429039929 2162 2272 471
186 "bf" "on" "off" "uncorr" 5 25 0.5 6 2500 4 36.696364747631 2155 2344 515
187 "bf" "on" "off" "uncorr" 5 25 0.5 7 2500 4 36.6938084349073 2115 2414 591
188 "bf" "on" "off" "uncorr" 5 25 0.5 8 2500 4 36.6989210603547 2149 2511 642
189 "bf" "on" "off" "uncorr" 5 25 0.5 9 2500 4 36.696364747631 2158 2436 561
190 "bf" "on" "off" "uncorr" 5 25 0.5 10 2500 4 36.6936362105158 2159 2305 485
191 "bf" "on" "off" "uncorr" 5 25 0.9 1 2500 4 36.6499888542166 2010 1299 82
192 "bf" "on" "off" "uncorr" 5 25 0.9 2 2500 4 36.6589159968152 2033 1318 57
193 "bf" "on" "off" "uncorr" 5 25 0.9 3 2500 4 36.6968625184449 2015 1317 84
194 "bf" "on" "off" "uncorr" 5 25 0.9 4 2500 4 36.7349483874473 2031 1327 98
195 "bf" "on" "off" "uncorr" 5 25 0.9 5 2500 4 36.7166142048134 2087 1376 88
196 "bf" "on" "off" "uncorr" 5 25 0.9 6 2500 4 36.7253821271468 2084 1382 92
197 "bf" "on" "off" "uncorr" 5 25 0.9 7 2500 4 36.7012962804055 2034 1428 92
198 "bf" "on" "off" "uncorr" 5 25 0.9 8 2500 4 36.6778494723242 2054 1353 86
199 "bf" "on" "off" "uncorr" 5 25 0.9 9 2500 4 36.7235246298442 2017 1230 68
200 "bf" "on" "off" "uncorr" 5 25 0.9 10 2500 4 36.5798652566907 1990 1276 63
201 "bf" "on" "off" "uncorr" 5 50 0.1 1 5000 3 25.1373263190718 4520 8078 220
202 "bf" "on" "off" "uncorr" 5 50 0.1 2 5000 3 24.3495628405488 4529 8162 188
203 "bf" "on" "off" "uncorr" 5 50 0.1 3 5000 3 25.1781033279154 4579 8257 206
204 "bf" "on" "off" "uncorr" 5 50 0.1 4 5000 3 24.3981732399221 4587 8215 176
205 "bf" "on" "off" "uncorr" 5 50 0.1 5 5000 3 24.407333536669 4574 8216 192
206 "bf" "on" "off" "uncorr" 5 50 0.1 6 5000 3 25.1485973481306 4555 8133 210
207 "bf" "on" "off" "uncorr" 5 50 0.1 7 5000 3 25.0897535629922 4577 8260 206
208 "bf" "on" "off" "uncorr" 5 50 0.1 8 5000 4 24.5619508192541 4485 8154 245
209 "bf" "on" "off" "uncorr" 5 50 0.1 9 5000 3 24.7358355623356 4547 8200 198
210 "bf" "on" "off" "uncorr" 5 50 0.1 10 5000 3 25.0605361036802 4551 8057 227
211 "bf" "on" "off" "uncorr" 5 50 0.2 1 5000 4 30.6273782547749 4453 8122 337
212 "bf" "on" "off" "uncorr" 5 50 0.2 2 5000 3 30.5039888842528 4452 8096 314
213 "bf" "on" "off" "uncorr" 5 50 0.2 3 5000 4 30.6843142471052 4460 8013 344
214 "bf" "on" "off" "uncorr" 5 50 0.2 4 5000 4 30.8548901697055 4511 8124 325
215 "bf" "on" "off" "uncorr" 5 50 0.2 5 5000 3 30.7029286790765 4479 8083 356
216 "bf" "on" "off" "uncorr" 5 50 0.2 6 5000 3 30.5098597729377 4452 8114 331
217 "bf" "on" "off" "uncorr" 5 50 0.2 7 5000 4 30.6279629481952 4460 8170 281
218 "bf" "on" "off" "uncorr" 5 50 0.2 8 5000 3 30.713019280508 4447 8037 313
219 "bf" "on" "off" "uncorr" 5 50 0.2 9 5000 4 30.7359066992571 4473 8235 329
220 "bf" "on" "off" "uncorr" 5 50 0.2 10 5000 4 30.7140740434551 4446 8064 338
221 "bf" "on" "off" "uncorr" 5 50 0.5 1 5000 13 36.7272547781193 4455 5441 1436
222 "bf" "on" "off" "uncorr" 5 50 0.5 2 5000 11 36.7336141394612 4514 5635 1561
223 "bf" "on" "off" "uncorr" 5 50 0.5 3 5000 14 36.7307730832139 4539 5584 1544
224 "bf" "on" "off" "uncorr" 5 50 0.5 4 5000 13 36.7236667407032 4523 5583 1533
225 "bf" "on" "off" "uncorr" 5 50 0.5 5 5000 14 36.7323359830994 4513 5851 1498
226 "bf" "on" "off" "uncorr" 5 50 0.5 6 5000 16 36.7278386543261 4481 5262 1316
227 "bf" "on" "off" "uncorr" 5 50 0.5 7 5000 11 36.7335614384474 4536 5785 1498
228 "bf" "on" "off" "uncorr" 5 50 0.5 8 5000 14 36.7319052787802 4511 5150 1345
229 "bf" "on" "off" "uncorr" 5 50 0.5 9 5000 14 36.725579246243 4508 5590 1449
230 "bf" "on" "off" "uncorr" 5 50 0.5 10 5000 15 36.7258327950168 4375 5023 1198
231 "bf" "on" "off" "uncorr" 5 50 0.9 1 5000 15 36.7749981776429 4241 2928 174
232 "bf" "on" "off" "uncorr" 5 50 0.9 2 5000 15 36.7756597844918 4238 2636 144
233 "bf" "on" "off" "uncorr" 5 50 0.9 3 5000 13 36.7743230628505 4196 2737 137
234 "bf" "on" "off" "uncorr" 5 50 0.9 4 5000 14 36.7738210276418 4276 2850 177
235 "bf" "on" "off" "uncorr" 5 50 0.9 5 5000 18 36.7734834702456 4130 2737 148
236 "bf" "on" "off" "uncorr" 5 50 0.9 6 5000 13 36.775997341888 4248 2814 137
237 "bf" "on" "off" "uncorr" 5 50 0.9 7 5000 13 36.759898194835 4170 2863 191
238 "bf" "on" "off" "uncorr" 5 50 0.9 8 5000 14 36.7717756466436 4097 2820 176
239 "bf" "on" "off" "uncorr" 5 50 0.9 9 5000 15 36.7732248874169 4194 2696 170
240 "bf" "on" "off" "uncorr" 5 50 0.9 10 5000 15 36.7762223801521 4199 2627 145
241 "bf" "on" "off" "uncorr" 5 100 0.1 1 10000 10 25.4127782628747 9120 16594 403
242 "bf" "on" "off" "uncorr" 5 100 0.1 2 10000 10 25.4435950497456 8964 16412 440
